Song Title	Artist(s)
Janice STFU	Drake
Special Ops	Lil Wayne
Dead Fresh	Lil Baby
Spend Dat	Yung Miami
Shabang	Drake
Eaters	Young Thug
Out My Face (My Baby)	Ice Spice
40 Nights	Kanye West, Mike & Keys, The Game
IN THE CLUB	Rob49, Sexyy Red
DPG - Wu Tang, Wu Tang - DPG	Kurupt, Masta Killa, Rakim
No Brakes	The Game
Club Outside	Lil Baby, Young Thug
First Day Out	Superstar Pride
Is Dat Right?	Nardo Wick
Butterflies	Mac Miller
Raindance	Dave & Tems
AH HA	Cardi B
Last Man Breathin	Pooh Shiesty
Fully Loaded	D-Block Europe, French Montana
Hustle	Rod Wave
Back Ina Yams	Tee Grizzley
POP MY SHIT	NAV
Rider	Russ
OMG	Polo G
Trance (Walk It Down)	Quavo
Do It Again	Lil Wayne
Too Bo$$y	Flo Milli
I See Why	MoneyBagg Yo
Meet The Redds	Trippie Redd
Grind Time	Lil Baby, Rylo Rodriguez
DIFFERENCE	Denzel Curry, Kenny Beats
I Just Wanna Know	Bino Rideaux, Nipsey Hussle
Sick & Tired	Night Lovell
9 bitches (Nine Vicious Diss)	Ken Carson
Yiccen	Wiz Khalifa
Not Like Us	Kendrick Lamar
FE!N	Travis Scott ft. Playboi Carti
Big Dawgs	Hanumankind, Kalmi
Different Species	Offset, Gunna
E85	Don Toliver
WHATCHU KNO ABOUT ME	GloRilla ft. Sexyy Red
Wine & Dine	YoungBoy Never Broke Again
Wanna Be	GloRilla, Megan Thee Stallion
tv off	Kendrick Lamar
Like That	Future, Metro Boomin, Kendrick Lamar
HIM ALL ALONG	Gunna
Forever Ever	Trippie Redd ft. Young Thug & Reese LAFLARE
squabble up	Kendrick Lamar
JAN. 31st (my truth)	YFN Lucci
Finest	YoungBoy Never Broke Again
Motion Party	BossMan Dlow
25	Rod Wave
Shake Dat Ass (Twerk Song)	BossMan Dlow
Never Lose Me	Flo Milli
Empty Out Your Pockets	Juice WRLD
Two Feet	TOESUP, Smiley
Blow My High	Dee Mula
2:00 AM	BigXthaPlug
Type Shit	Future, Metro Boomin, Travis Scott, Playboi Carti
NOKIA	Drake
Houdini	Eminem
wgft	Gunna ft. Burna Boy
POP DAT THANG	DaBaby
I Forgive Them	YoungBoy Never Broke Again
GYATT	Latto, Ice Spice
COMË N GO	Yeat
TGIF	GloRilla
I KNOW ?	Travis Scott
ROOMS	Mike WiLL Made-It ft. NBA YoungBoy & Chief Keef
Take Me Thru Dere	Metro Boomin ft. Quavo, Breskii, YK Niece & DJ Spinz
WHAT DID I MISS	Drake
Feed the Streets	Rod Wave
NEW DROP	Don Toliver
Passport Junkie	Rod Wave
peekaboo	Kendrick Lamar
Help Me	Real Boston Richey
Somebody	Latto
Enough (Miami)	Cardi B
Super Freaky Girl	Nicki Minaj
WAIT FOR U	Future ft. Drake & Tems
First Class	Jack Harlow
In A Minute	Lil Baby
Betty (Get Money)	Yung Gravy
Way 2 Sexy	Drake ft. Future & Young Thug
Up	Cardi B
Girls Want Girls	Drake ft. Lil Baby
For The Night	Pop Smoke ft. Lil Baby & DaBaby
Champagne Poetry	Drake
Back In Blood	Pooh Shiesty ft. Lil Durk
Body	Megan Thee Stallion
Lemonade	Internet Money ft. Don Toliver, Gunna & NAV
Cry Baby	Megan Thee Stallion ft. DaBaby
INDUSTRY BABY	Lil Nas X, Jack Harlow
Laugh Now Cry Later	Drake ft. Lil Durk
Throat Baby (Remix)	BRS Kash ft. DaBaby & City Girls
WAP	Cardi B ft. Megan Thee Stallion
family ties	Baby Keem, Kendrick Lamar
Time Today	Moneybagg Yo
Thot Shit	Megan Thee Stallion
