title,artist,genre,source,artwork
Uhambo,Andrea The Vocalist ft Aubrey Qwana,Afro-Pop,Demo Playlist,Assets/charts/top_40_chart/1.jpg
Inhliziyo Yami,Aphiwe & Sobancane,Afro-Pop,Demo Playlist,Assets/charts/top_40_chart/2.jpg
Sleepover,Denzel ft Skido, Hwiza, Micky Black,Afro-Pop,Demo Playlist,Assets/charts/top_40_chart/3.jpg
Mali,Dlala Thukzin ft Zee Nxumalo, Sykes,Afro-Pop,Demo Playlist,Assets/charts/top_40_chart/4.jpg
Different Breed,Hooksmith,Zim Hip Hop,Demo Playlist,Assets/charts/top_25_local_hip_hop/1.jpg
Bhura Dhanzi,Hulengende feat. Madedido,Zimdancehall,Demo Playlist,Assets/charts/top_40_chart/5.jpg
Muchaita Sei,Killer T,Sungura,Demo Playlist,Assets/charts/top_40_chart/6.jpg
Learn Shona,Learn Shona & Sane Wav,Afro-Pop,Demo Playlist,Assets/charts/top_40_chart/7.jpg
Ndiri Kushanda,Ndini Marshie,Afro-Pop,Demo Playlist,Assets/charts/top_40_chart/8.jpg
Pane Acha Chema,Nutty O ft Buffalo Souljah,Afro-Pop,Demo Playlist,Assets/charts/top_40_chart/9.jpg
Mudododo,Sugar Sugar,Afro-Pop,Demo Playlist,Assets/charts/top_40_chart/10.jpg
Mankalengkaleng Lyrics,A.T.I,Amapiano,Demo Playlist,Assets/charts/top_20_rnb_chart/1.jpg
Stimamolelo,ATI,Amapiano,Demo Playlist,Assets/charts/top_20_rnb_chart/2.jpg
Bo Lavo 10.9,Bukzin Keyz ft Felo Le Tee, Tman Xpress,Amapiano,Demo Playlist,Assets/charts/top_20_rnb_chart/3.jpg
Ngwana’a Batho,Charama Gal,Amapiano,Demo Playlist,Assets/charts/top_20_rnb_chart/4.jpg
Insecurities,Coster ft JujuBoy,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/5.jpg
Mmele Pelo Le Moya,DJ Ngwazi, Han C & Donald,Amapiano,Demo Playlist,Assets/charts/top_20_rnb_chart/6.jpg
Ama Gear,Dlala Thukzin, Funky QLA & Zee Nxumalo,House,Demo Playlist,Assets/charts/top_20_house/1.jpg
Dlala Thukzin,Dlala Thukzin, Zee Nxumalo,House,Demo Playlist,Assets/charts/top_20_house/2.jpg
Tjuele,Mpho Sebina ft A.T.I,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/7.jpg
Heh Heeh,Royal Musiq & W4de,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/8.jpg
You,Samantha Mogwe Ft. Sasa Klaas,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/9.jpg
Transition,Samantha Mogwe ft Zeus,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/10.jpg
Ama Hem Hem,Thatohatsi ft Sjava,Amapiano,Demo Playlist,Assets/charts/top_20_house/3.jpg
Remember,Tman Xpress & Mellow & Sleazy,House,Demo Playlist,Assets/charts/top_20_house/4.jpg
Ha Tholakale,Vee Mampeezy,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/11.jpg
Chomi Yaago,Wave Rhyder & Han-C,Amapiano,Demo Playlist,Assets/charts/top_20_house/5.jpg
Addictions,Brent Faiyaz,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/12.jpg
Burning Bridges,Drake,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/13.jpg
There’s no Other,Felly,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/14.jpg
Recommend,Masego,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/15.jpg
Take My Space,Nimino,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/16.jpg
Don't You Know,Runway Richy ft Fetty Wap,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/17.jpg
Cocoanut Water,Trim,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/18.jpg
Slick,Victony,R&B,Demo Playlist,Assets/charts/top_20_rnb_chart/19.jpg
Broken Trophies,Wokeeyes,Zim Hip Hop,Demo Playlist,Assets/charts/top_25_local_hip_hop/2.jpg
Composer,Wokeeyes,Zim Hip Hop,Demo Playlist,Assets/charts/top_25_local_hip_hop/3.jpg
